Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
01,2024,03,12,12,05,07,0.136,-0.039,NaN,43.747,43.627,NaN,124.517,400.64,16435.14,4.389
01,2024,03,12,12,05,07,0.088,-0.06,NaN,45.278,44.655,NaN,111.798,214.672,16477.97,4.389
02,2024,03,12,12,06,09,0.21,-0.097,NaN,45.1,45.214,NaN,404.284,298.434,16585.06,4.349
02,2024,03,12,12,06,09,0.082,-0.058,NaN,45.921,43.113,NaN,311.765,163.677,16411.79,4.349
02,2024,03,12,12,06,10,0.096,-0.084,NaN,47.252,45.303,NaN,367.952,100.899,16440.4,4.349
02,2024,03,12,12,06,10,0.184,-0.074,NaN,45.078,44.164,NaN,271.847,67.637,16435.2,4.349
02,2024,03,12,12,06,11,0.146,-0.004,NaN,45.987,45.907,NaN,251.68,-28.363,16444.65,4.349
02,2024,03,12,12,06,11,0.131,-0.102,NaN,46.276,44.186,NaN,237.916,-35.058,16408.84,4.349
02,2024,03,12,12,06,12,0.283,-0.13,NaN,46.32,46.376,NaN,214.233,-42.433,16447.56,4.349
02,2024,03,12,12,06,12,0.214,-0.149,NaN,45.433,46.287,NaN,195.291,78.564,16446.69,4.349
02,2024,03,12,12,06,13,0.183,-0.185,NaN,46.032,44.052,NaN,147.908,68.913,16475.46,4.349
02,2024,03,12,12,06,13,0.227,-0.123,NaN,45.3,43.27,NaN,176.052,123.172,16439.74,4.349
02,2024,03,12,12,06,14,0.17,-0.101,NaN,41.817,40.923,NaN,181.26,117.744,16446.88,4.349
02,2024,03,12,12,06,14,0.168,-0.066,NaN,43.947,43.627,NaN,189.493,-47.521,16434.72,4.349
02,2024,03,12,12,06,15,0.185,-0.065,NaN,45.81,43.583,NaN,122.074,45.031,16457.8,4.349
02,2024,03,12,12,06,15,0.243,-0.034,NaN,47.563,46.153,NaN,145.361,36.183,16442.03,4.349
02,2024,03,12,12,06,16,0.283,-0.187,NaN,46.498,45.013,NaN,211.486,144.172,16456.44,4.349
02,2024,03,12,12,06,16,0.254,-0.11,NaN,43.325,43.448,NaN,209.485,37.727,16434.05,4.349
02,2024,03,12,12,06,17,0.221,-0.093,NaN,43.88,44.611,NaN,152.462,-85.945,16437.21,4.349
02,2024,03,12,12,06,17,0.296,-0.116,NaN,44.812,45.236,NaN,57.04,141.544,16438.28,4.349
02,2024,03,12,12,06,18,0.14,-0.103,NaN,45.766,43.515,NaN,20.595,-57.327,16430.51,4.349
02,2024,03,12,12,06,18,0.199,-0.171,NaN,45.766,45.75,NaN,16.49,-455.792,16455.04,4.349
02,2024,03,12,12,06,19,0.236,-0.157,NaN,48.516,45.594,NaN,177.084,-40.348,16434.62,4.349
02,2024,03,12,12,06,19,0.243,-0.166,NaN,44.568,44.186,NaN,149.817,-159.336,16434.87,4.349
02,2024,03,12,12,06,20,0.164,-0.148,NaN,43.547,45.505,NaN,127.195,-49.04,16439.18,4.349
02,2024,03,12,12,06,20,0.209,-0.127,NaN,46.298,44.856,NaN,83.786,-152.104,16455.36,4.349
02,2024,03,12,12,06,21,0.224,-0.113,NaN,45.189,43.359,NaN,116.405,-285.68,16426.78,4.349
02,2024,03,12,12,06,21,0.188,-0.137,NaN,44.035,44.253,NaN,29.42,-110.563,16415.9,4.349
02,2024,03,12,12,06,22,0.13,-0.166,NaN,45.411,44.32,NaN,-15.768,-254.367,16417.43,4.349
02,2024,03,12,12,06,22,0.155,-0.174,NaN,46.409,45.058,NaN,-8.581,-47.07,16487.11,4.349
02,2024,03,12,12,06,23,0.236,-0.152,NaN,46.653,44.901,NaN,-539.733,-958.034,16639.85,4.349
02,2024,03,12,12,06,23,0.187,-0.123,NaN,46.52,44.856,NaN,100.23,-466.703,16438.31,4.349
02,2024,03,12,12,06,24,0.249,-0.185,NaN,44.745,46.533,NaN,73.296,-532.309,16433.75,4.349
02,2024,03,12,12,06,24,0.264,-0.236,NaN,45.411,43.694,NaN,-7.578,-357.654,16430.77,4.349
02,2024,03,12,12,06,25,0.265,-0.19,NaN,46.231,44.387,NaN,116.431,-298.417,16420.26,4.349
02,2024,03,12,12,06,25,0.195,-0.119,NaN,44.213,41.571,NaN,183.517,-194.989,16427.87,4.349
02,2024,03,12,12,06,26,0.185,-0.083,NaN,45.388,44.856,NaN,219.493,-493.756,16418.36,4.349
02,2024,03,12,12,06,26,0.128,-0.157,NaN,47.074,45.415,NaN,98.966,-441.531,16410.09,4.349
02,2024,03,12,12,06,27,0.161,-0.104,NaN,43.769,42.778,NaN,92.733,-505.914,16452.05,4.349
02,2024,03,12,12,06,27,0.19,-0.076,NaN,43.658,43.806,NaN,130.46,-454.444,16442.41,4.349
02,2024,03,12,12,06,28,0.15,-0.049,NaN,44.9,42.353,NaN,136.419,-376.081,16425.47,4.349
02,2024,03,12,12,06,28,0.054,-0.068,NaN,43.947,42.599,NaN,99.154,-347.504,16430.56,4.349
02,2024,03,12,12,06,29,0.057,-0.19,NaN,43.68,42.867,NaN,675.347,-86.479,16231.6,4.349
02,2024,03,12,12,06,29,0.165,-0.076,NaN,45.721,45.527,NaN,1028.949,2719.557,16128.2,4.349
02,2024,03,12,12,06,30,0.075,-0.092,NaN,47.518,43.918,NaN,685.078,-558.48,15896.1,4.349
02,2024,03,12,12,06,30,0.166,-0.089,NaN,45.854,45.147,NaN,635.269,-142.891,16694.21,4.349
02,2024,03,12,12,06,31,0.293,-0.136,NaN,45.056,45.169,NaN,547.289,89.233,16453.44,4.349
02,2024,03,12,12,06,31,0.273,-0.042,NaN,45.433,46.488,NaN,454.81,75.491,16450.25,4.349
